観光地名,短文説明,タグ,住所,緯度経度,画像,電話番号,ホームページ,Twitter,Instagram,Youtube,GoogleMapリンク,インフォ,詳細説明,追加画像1,追加画像2,追加画像3,追加画像4
加茂総社宮,,加茂大祭 散策　歴史・文化　癒し　神社・仏閣　祭り　自然,吉備中央町加茂市場1567,"34.8658098,133.7559894",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/09/407edae8b79f03a9a1b8d90f94fbc37a-1024x682.jpg,,,,,,"https://maps.google.com/maps?q=%E5%90%89%E5%82%99%E4%B8%AD%E5%A4%AE%E7%94%BA%E5%8A%A0%E8%8C%82%E5%B8%82%E5%A0%B41567&#038;zoom=14&#038;size=512x512&#038;maptype=roadmap&#038;sensor=false""",,"光仁天皇の宝亀二年(７７１)に加茂三十八か村の総氏神として建てられました。応仁から明応年間まで、戦乱のため仮社となりましたが、永正年間、虎倉城主 伊賀久隆の崇敬を受け、社殿を新築し社領百石の寄進を受けて加茂大祭も復活しました。しかし天文年間、伊賀氏も備中松山城三村家親に敗れて社領は没収されました。その後寛文九年(１６６９)岡山藩主池田光政公祈願として社殿を新築、神領六石を寄進されました。

本殿に奉納されている木額（文化六年己巳九月）は風雨にさらされ、板面は凸凹していて判別しにくいが、その文中に素戔嗚尊、高祖山最高峰（海抜３２６メートル）に仮の宮を定め、尊の頭文字素の一字を取り素社宮と書き、郷民はソウジャ宮と唱えたことが記されています。さらに御子大己貴神（大国主命）を祀り、後年には山麓の平地（元神村で今の元兼）に宮造御遷宮をし、素を惣の字に改め惣社宮と呼びました。

昔、惣社宮であったことは、石の大鳥居の社名彫刻でも推察できます。総社棟札によると「一国之尊神而萬之霊鎮也」とあって、加茂郷諸社中鎮座最も古く、備前国総神明帳に津高郡十社の内、従四位神の明神と記録されているのは当社のことで、近隣諸社の総元締めであることは、千年近くの歴史を誇る加茂大祭の伝統ある神事が物語っています。",,,,
陸えび商店,,カフェ　グルメ,〒709-2343 岡山県加賀郡吉備中央町竹部2164−65,"34.8349596,133.763276",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/09/IMG_8985-600x400.jpg,0867-34-9855,https://www.okaebi.co.jp/,,https://www.instagram.com/okaebisyouten_5656/,,"https://www.google.com/maps/place/cafebar/@34.834964,133.7607011,17z/data=!3m1!4b1!4m6!3m5!1s0x3556a9d929d82391:0x8496fecfd69a565e!8m2!3d34.8349596!4d133.763276!16sg11kqg44qx4?entry=ttu","#### 定休日 
日曜
#### 営業時間 
15時～21時","吉備中央町を拠点に昆虫食事業に取り組む「陸えびJAPAN」が

2023年8月に事務所を改装し、カフェ＆バーをオープン。

 

町の交流の場として地域コミュニティの活性化を目指しています。",,,,
重森三玲 生家跡,,散策　歴史・文化　記念館・資料館　重森三玲,岡山県加賀郡吉備中央町吉川,"34.8188504,133.7069552",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/07/mirei_born001.jpg,,,,,,https://www.google.com/maps?q=%E5%B2%A1%E5%B1%B1%E7%9C%8C%E5%8A%A0%E8%B3%80%E9%83%A1%E5%90%89%E5%82%99%E4%B8%AD%E5%A4%AE%E7%94%BA%E5%90%89%E5%B7%9D&zoom=14&size=512x512&maptype=roadmap&sensor=false,,"三玲処女作の先代天籟庵庭園は、生家跡の最奥部に大仙院庭園を思わせる枯滝石組のある枯山水庭園です。
建物が全てなくなった生家跡に、滝から流れ出した砂の河が、南へ南へとゆったりと流れており、まるで生家跡の守護神のようで、この姿は現在も不変です。
地域の皆様のボランティア活動により現在も維持されています。

 

「重森三玲記念館」と合わせて見学してみて下さい。
◆重森三玲記念館

重森三玲・・・
日本美術学校で日本画を学び、その後造園、庭園学を独学で学び、氏独特のモダンを取り入れた枯山水庭園を各地に残す一方で、日本の伝統美である茶道、華道の奥義を極め、全国各地の古庭園の鑑別保存調査事業も行うなど、日本庭園界に多大なる功績を与えました。吉備中央町吉川地区出身。",,,,
cafe 池ノ上,,カフェ グルメ スイーツ ツーリング デート テイクアウト ランチ 古民家 癒し,吉備中央町上田東1355,"34.9010831,133.8005454",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/03/ikenoue02-1024x683.jpeg,080-8523-2626,,,https://www.instagram.com/ike_no_ue/,,"https://maps.google.com/maps?q=%E5%90%89%E5%82%99%E4%B8%AD%E5%A4%AE%E7%94%BA%E4%B8%8A%E7%94%B0%E6%9D%B11355&#038;zoom=14&#038;size=512x512&#038;maptype=roadmap&#038;sensor=false""","#### 定休日　
火・金曜 (※臨時休業あり/詳しくはInstagramにて)

#### 営業時間　
11:00～17:00 (ランチは 14:00 まで)

※農家民宿の受入により短縮営業の可能性有","農家民宿を営んでいる「池ノ上」によって

2023年3月に新たにオープンした古民家カフェ。

 

昔ながらの温もりある店内とそこから望む庭園を目で楽しみ

美味しいランチやスイーツを舌で楽しむ。

癒されること間違いなしです。

 

※掲載情報は変更となる場合がございます。
最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
にじいろ広場,,アウトドア アクティビティ ファミリー,〒716-1241 岡山県加賀郡吉備中央町吉川４８６０−６,"34.8347066,133.759608",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/04/7d7e77fef53aae589ee8702669c36cac-600x400.png,0866567010,,,,,"https://www.google.co.jp/maps/place//@34.8347066,133.759608,17.78z/data=!4m12!1m6!3m5!1s0x3556a863582fa1df:0x7d3575166ebe1035!2z5ZCJ5YKZ6auY5Y6f44Kw44Op44Km44Oz44OJ44K044Or44OV5aC0!8m2!3d34.8331535!4d133.757232!3m4!1s0x0:0xe30cbf28c9d22049!8m2!3d34.8348996!4d133.759455?hl=ja","#### 水遊び場運転日　
5月～9月の土日祝
※7月20日〜8月30日は毎日運転

#### 運転時間　
10:00～15:00",きびプラザ屋外にある、児童用コンビネーション遊具・ネットクライミング遊具・幼児用コンビネーション遊具・夏季限定の水遊び場が設置されているエリアです。,,,,
吉備中央公園,,アウトドア アクティビティ デート ファミリー 散策 桜 癒し 自然,〒716-1241 岡山県加賀郡吉備中央町吉川４４６９−４６,"34.8332598,133.7542623",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/04/f2c356b4d95a3b8dd70b3766b06a58fd-600x400.png,0866569377,,,,,"https://www.google.co.jp/maps/place//@34.8332598,133.7542623,16.74z/data=!4m12!1m6!3m5!1s0x3556a863582fa1df:0x7d3575166ebe1035!2z5ZCJ5YKZ6auY5Y6f44Kw44Op44Km44Oz44OJ44K044Or44OV5aC0!8m2!3d34.8331535!4d133.757232!3m4!1s0x3556a864c463b763:0x7bd11a87448cf9f2!8m2!3d34.8321622!4d133.7589827?hl=ja",,さんさん広場の泉の水がカスケードとして流れ、中央部には石張り舗装の出会いの広場からプロムナードを通じて水上ステージにつながる施設や多目的広場が整備されています。10haにおよぶ公園の敷地には、吉備津彦と温羅のモニュメント「花の広場」「出会いの広場」「水上ステージ」があり、四季折々の花々も楽しめます。,,,,
吉備高原グラウンド･ゴルフ場,,アウトドア スポーツ,〒716-1241 岡山県加賀郡吉備中央町吉川４４６９−４６,"34.8331535,133.757232",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/01/287b7adc305003a9f5fe7a5fda886a93.jpg,866569191,https://www.town.kibichuo.lg.jp/site/kanko/5314.html,,,,"https://www.google.co.jp/maps/place//@34.8331535,133.7550433,17z/data=!3m1!4b1!4m5!3m4!1s0x3556a863582fa1df:0x7d3575166ebe1035!8m2!3d34.8331535!4d133.757232?hl=ja","#### 営業時間　
9:00～17:00

#### 予約方法・使用料
町のHPまたはお電話にてご確認ください","吉備中央公園にあるグラウンドゴルフ協会の認定ゴルフ場です。

「障害者や初心者も楽しめる初級者コース」と、「自然を生かし起伏に富んだ上級コース」の2コースが整備されています。

 

※掲載情報は変更となる場合がございます。
最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
かもがわ総合スポーツ公園,,アウトドア アクティビティ スポーツ,〒709-2411 岡山県加賀郡吉備中央町上田東２３６０−３,"34.8956378,133.8208334",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/01/b5067ff49d55d7b84c3e758395f58022.jpg,0867341165,https://www.town.kibichuo.lg.jp/site/kanko/5313.html,,,,"https://www.google.co.jp/maps/place//@34.8956378,133.8186447,17z/data=!3m1!4b1!4m5!3m4!1s0x35541e6514b900cf:0x5d7d9c40ab8109b4!8m2!3d34.8956378!4d133.8208334?hl=ja","#### 定休日　
月曜・祝日

#### 営業時間(事務所)　
平日：8:30～19:15 休日：8:30〜17:15

各種施設利用料・時間
町のHPをご覧ください","多目的広場、野球場、テニスコート、グラウンドゴルフ場、体育館が整備された、総合スポーツ施設です。

空調完備、炊事場、更衣室・シャワールーム、宿泊もできる大部屋の和室、ミーティングルームなど

スポーツ合宿をはじめとした団体利用に十分な設備が整っています。

 

※掲載情報は変更となる場合がございます。
最新情報・詳細につきましては各スポットまでお問い合わせください。",,,,
大平山いこいの森,,アウトドア 紅葉 自然 雲海,〒716-1101 岡山県加賀郡吉備中央町豊野,"34.8936321,133.7055723",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/01/e4dad4628b61ea23a8becc575d1a8f6b.jpg,,,,,,"https://www.google.co.jp/maps/place//@34.8936321,133.7033836,17z/data=!3m1!4b1!4m5!3m4!1s0x3556a56ec6511d9d:0x6010e3a6640a5b8f!8m2!3d34.8936321!4d133.7055723?hl=ja",,"吉備中央町の最高峰・大平山（標高697m）。山頂周辺は「大平山いこいの森」として整備され、

「高爽の森」「憩の森」「水守の森」「育成の森」と4つのゾーンに分かれています。

林内の遊歩道は歩くと柔らかな感触のチップ舗装が施されており、散策にもってこい。

野鳥のさえずりに耳を傾けながら、マイナスイオンをたっぷり浴びれば、身体も心も癒されます。

 

※山道は大変細くなっております。車でお越しの際は特にお気を付けください",,,,
いわくら公園,,アウトドア 散策 桜 自然,〒709-2413 岡山県加賀郡吉備中央町上田西,"34.8818573,133.8069016",https://kibichuo-kanko.jp/kanko/wp-content/uploads/2023/01/f37cc5161b87b9a0d1523f4e25ae7ca5.jpg,,,,,,"https://www.google.co.jp/maps/place/+/@34.8818573,133.8047129,17z/data=!3m1!4b1!4m5!3m4!1s0x35541d56e5b6204f:0xc6be5bfa0cbbb987!8m2!3d34.8818573!4d133.8069016?hl=ja",,標高394.2mの岩倉山からは、360度のパノラマが見渡せます。園内には中心点を表現したモニュメントや休憩所が設けられていて、誰でも気軽に利用できる、自然レクリェーションの森として親しまれています。,,,,
